Nombre del Resort,Rate,Estrellas,Km de Freeride,Continente,Pais,Estado,Altitud,Facil,Intermedio,Dificil,Total de kilometros,Precio,Moneda,Tamaño del resort de esqui,Variedad de pistas,Fiabilidad de la nieve,Orientacion de mapas,Limpieza e higiene,Apres-ski,Snow parks,Esqui de fondo y senderos,pais,latitude,longitude,ISO Code
. Almenwelt Lofer,4.0,3.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1670.0,32.0,12.0,2.0,46,42.0,European Euro,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,AT,47.516231,14.550072,AUT
 Lermoos – Grubigstein,4.0,4.0,1.7,Europe,Austria,Tyrol (Tirol),2100.0,12.8,12.6,1.9,27,44.0,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,AT,47.516231,14.550072,AUT
 Golm,4.0,4.0,3.2,Europe,Austria,Vorarlberg,2110.0,13.0,12.0,1.5,26,47.5,European Euro,3.0,4.0,4.0,5.0,4.0,3.0,1.0,1.0,AT,47.516231,14.550072,AUT
 Hintertux Glacier (Hintertuxer Gletscher),4.0,4.0,0.0,Europe,Austria,Tyrol (Tirol),3250.0,14.0,35.0,11.0,60,52.0,European Euro,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,AT,47.516231,14.550072,AUT
. St. Johann in Tirol/Oberndorf – Harschbichl,4.0,3.0,1.0,Europe,Austria,Tyrol (Tirol),1604.0,16.0,24.0,3.0,43,43.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,AT,47.516231,14.550072,AUT
. Radstadt/Altenmarkt,4.0,2.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1571.0,9.2,7.2,0.6,17,51.5,European Euro,2.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,AT,47.516231,14.550072,AUT
Tauplitz – Bad Mitterndorf,4.0,5.0,2.0,Europe,Austria,Styria (Steiermark),1965.0,18.0,19.0,6.0,43,41.0,European Euro,3.0,4.0,5.0,4.0,5.0,3.0,1.0,5.0,AT,47.516231,14.550072,AUT
 Hochzeiger – Jerzens,4.0,4.0,8.0,Europe,Austria,Tyrol (Tirol),2450.0,10.0,22.0,8.0,40,44.0,European Euro,3.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,AT,47.516231,14.550072,AUT
 Dachstein West – Gosau/Russbach/Annaberg,4.0,4.0,4.0,Europe,Austria,Salzburg (Salzburger Land),1620.0,15.0,33.0,3.0,51,43.7,European Euro,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,AT,47.516231,14.550072,AUT
 Galtür – Silvapark,4.0,4.0,6.0,Europe,Austria,Tyrol (Tirol),2300.0,6.0,25.0,12.0,43,40.0,European Euro,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,AT,47.516231,14.550072,AUT
. Sillian – Thurntaler (Hochpustertal),3.9,3.0,0.7,Europe,Austria,Tyrol (Tirol),2407.0,5.6,15.0,1.1,21,46.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,AT,47.516231,14.550072,AUT
 Hochoetz – Oetz,3.9,4.0,3.5,Europe,Austria,Tyrol (Tirol),2272.0,12.0,21.0,3.0,36,39.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,AT,47.516231,14.550072,AUT
. Spieljoch – Fügen,3.9,3.0,4.0,Europe,Austria,Tyrol (Tirol),2037.0,3.6,14.8,2.7,21,52.5,European Euro,2.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,AT,47.516231,14.550072,AUT
 Kreischberg,3.9,4.0,0.0,Europe,Austria,Styria (Steiermark),2118.0,17.0,16.0,9.0,42,44.5,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
 Fellhorn/Kanzelwand – Oberstdorf/Riezlern,3.9,4.0,2.0,Europe,Austria,Vorarlberg,1967.0,13.0,19.0,2.0,34,47.0,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,AT,47.516231,14.550072,AUT
 Hinterstoder – Höss,3.9,4.0,0.0,Europe,Austria,Upper Austria (Oberosterreich),2000.0,12.0,18.0,10.0,40,43.5,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
Axamer Lizum,3.8,5.0,0.0,Europe,Austria,Tyrol (Tirol),2340.0,7.0,21.0,2.0,30,38.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,AT,47.516231,14.550072,AUT
. St. Jakob im Defereggental – Brunnalm,3.8,3.0,6.7,Europe,Austria,Tyrol (Tirol),2525.0,4.7,11.1,1.2,17,46.5,European Euro,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,AT,47.516231,14.550072,AUT
. Pitztal Glacier (Pitztaler Gletscher),3.8,3.0,0.0,Europe,Austria,Tyrol (Tirol),3440.0,3.8,16.2,0.7,20,50.0,European Euro,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,AT,47.516231,14.550072,AUT
 Bad Kleinkirchheim,3.8,4.0,5.0,Europe,Austria,Carinthia (Karnten),2055.0,18.0,77.0,8.0,103,47.0,European Euro,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,AT,47.516231,14.550072,AUT
 Riesneralm – Donnersbachwald,3.8,4.0,0.0,Europe,Austria,Styria (Steiermark),1820.0,20.0,9.0,3.0,32,41.0,European Euro,3.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,AT,47.516231,14.550072,AUT
. Brandnertal – Brand/Bürserberg,3.8,3.0,13.0,Europe,Austria,Vorarlberg,2000.0,22.0,30.0,3.0,55,47.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,AT,47.516231,14.550072,AUT
. Ehrwalder Alm – Ehrwald,3.8,3.0,0.0,Europe,Austria,Tyrol (Tirol),1923.0,18.1,7.4,2.0,27,44.0,European Euro,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,AT,47.516231,14.550072,AUT
. Schlick 2000 – Fulpmes,3.7,3.0,1.5,Europe,Austria,Tyrol (Tirol),2240.0,12.0,6.8,3.2,22,38.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,AT,47.516231,14.550072,AUT
 See,3.7,4.0,0.0,Europe,Austria,Tyrol (Tirol),2456.0,8.0,25.0,8.0,41,40.5,European Euro,3.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,AT,47.516231,14.550072,AUT
